"palavra,""tipo"""
"a,""AD"""
"a!,""PDPPPR"""
"a+fim+de,""PR"""
"a+qual,""PL"""
"a+respeito+de,""PR"""
"abaixo,""AVIT"""
"abaixo+de,""PR"""
"absolutamente,""AV"""
"acaso,""AV"""
"acerca+de,""PR"""
"acima,""AV"""
"acima+de,""PR"""
"adiante,""AVIT"""
"agora,""AV"""
"ah,""IT"""
"ai,""IT"""
"ainda,""AV"""
"algo,""PI"""
"algum,""PI"""
"alguns,""PI"""
"alguém,""PI"""
"ali,""AV"""
"alve,""IT"""
"além,""AV"""
"além+de,""PR"""
"amanhã,""AV"""
"amém,""IT"""
"ante,""PR"""
"antes,""AV"""
"antes+de,""PR"""
"ao,""PR"""
"ao!,""PR+AD"""
"ao+invés+de,""PR"""
"ao+redor+de,""PR"""
"aos,""PR"""
"aos!,""PR+AD"""
"apessar+de,""PR"""
"apoiado,""IT"""
"após,""PR"""
"aquela,""PD"""
"aquelas,""PD"""
"aquele,""PD"""
"aqueles,""PD"""
"aqui,""AVIT"""
"aquilo,""PD"""
"arre,""IT"""
"as,""AD"""
"as!,""PDPP"""
"as+quais,""PL"""
"assaz,""AV"""
"assim,""AVCJ"""
"atrás,""AV"""
"até,""PR"""
"até+a,""PR"""
"basta,""IT"""
"bastante,""AVPI"""
"bem,""AV"""
"bem+como,""CJ"""
"bilhão,""NC"""
"bilionésimo,""NO"""
"bis,""IT"""
"boa,""IT"""
"bravo,""IT"""
"c,""NR"""
"cada,""PI"""
"caramba,""IT"""
"catorze,""NC"""
"cc,""NR"""
"ccc,""NR"""
"cd,""NR"""
"cedo,""AV"""
"cem,""NC"""
"centésimo,""NO"""
"certamente,""AV"""
"certo,""PI"""
"chega,""IT"""
"ci,""NR"""
"cibtudo,""CJ"""
"cinco,""NC"""
"cinquenta,""NC"""
"cinqüenta,""NC"""
"cm,""NR"""
"com,""PR"""
"comigo,""PP"""
"como+também,""CJ"""
"como+um,""LG"""
"conforme,""PR"""
"conosco,""PP"""
"consigo,""PP"""
"contigo,""PP"""
"contra,""PR"""
"convosco,""PP"""
"coragem,""IT"""
"credo,""IT"""
"cruzes,""IT"""
"cuja,""PL"""
"cujas,""PL"""
"cujo,""PL"""
"cujos,""PL"""
"cá,""AV"""
"cêntuplo,""NM"""
"d,""NR"""
"da!,""PR+AD"""
"daquilo,""PR"""
"das!,""PR+AD"""
"dc,""NR"""
"dcc,""NR"""
"dccc,""NR"""
"de,""PR"""
"de+acordo+com,""PR"""
"debaixo+de,""PR"""
"defronte+de,""PR"""
"demais,""AV"""
"dentreo+de,""PR"""
"dentre,""PR"""
"dentro,""AV"""
"depois,""AV"""
"depois+de,""PR"""
"depressa,""AV"""
"desde,""PR"""
"dessa,""PD"""
"desta,""PD"""
"destas,""PD"""
"deste,""PD"""
"destes,""PD"""
"devagar,""AV"""
"deveras,""AV"""
"dez,""NC"""
