"palavra","tipo"
"Aarão","SU"
"Abelardo","SU"
"Abissínia","SU"
"Abner","SU"
"Abraão","SU"
"Abreu","SU"
"Absalão","SU"
"Acab","SU"
"Acaia","SU"
"Aconcágua","SU"
"Acre","SU"
"Acrópole","SU"
"Adilson","SU"
"Adolfo","SU"
"Adriana","SU"
"Adriano","SU"
"Adriático","SU"
"Afeganistão","SU"
"Afonso","SU"
"Afrodite","SU"
"Agostinho","SU"
"Aguiar","SU"
"Aimoré","SU"
"Aires","SU"
"Ajax","SU"
"Alagoas","SU"
"Alair","SU"
"Alarico","SU"
"Alasca","SU"
"Alberta","SU"
"Albertina","SU"
"Alberto","SU"
"Albuquerque","SU"
"Alceu","SU"
"Alcibíades","SU"
"Alcino","SU"
"Aldebarã","SU"
"Alemanha","SU"
"Alencar","SU"
"Alexandra","SU"
"Alexandre","SU"
"Alexandria","SU"
"Alfredo","SU"
"Algol","SU"
"Almeida","SU"
"Alpes","SU"
"Alsácia","SU"
"Altair","SU"
"Alvarenga","SU"
"Alves","SU"
"Alá","SU"
"Amadeu","SU"
"Amapá","SU"
"Amaral","SU"
"Amazonas","SU"
"Amazônia","SU"
"Ambrósio","SU"
"Amália","SU"
"América","SU"
"América Latina","SU"
"Ana","SU"
"Anastácia","SU"
"Anastácio","SU"
"Anatólia","SU"
"Anaxágoras","SU"
"Ancara","SU"
"Anchieta","SU"
"Andaluzia","SU"
"Andorra","SU"
"Andrade","SU"
"André","SU"
"Andréa","SU"
"Andrômeda","SU"
"Angola","SU"
"Anhangüera","SU"
"Anselmo","SU"
"Antares","SU"
"Antilhas","SU"
"Antioquia","SU"
"Antonieta","SU"
"Antonina","SU"
"Antonino","SU"
"Antonio","SU"
"Antunes","SU"
"Antuérpia","SU"
"Antártida","SU"
"Antão","SU"
"Antíoco","SU"
"Antônia","SU"
"Antônio","SU"
"Anás","SU"
"Aparecida","SU"
"Apolônio","SU"
"Aquiles","SU"
"Aquitânia","SU"
"Aracaju","SU"
"Araguaia","SU"
"Aragão","SU"
"Aral","SU"
"Ararat","SU"
"Araçá","SU"
"Araújo","SU"
"Areópago","SU"
"Argel","SU"
"Argentina","SU"
"Argos","SU"
"Argélia","SU"
"Ariadne","SU"
"Aristarco","SU"
"Aristides","SU"
"Aristófanes","SU"
"Aristóteles","SU"
"Arizona","SU"
"Arlindo","SU"
"Armando","SU"
"Armênia","SU"
"Artaxerxes","SU"
"Artur","SU"
"Arábia","SU"
"Assis","SU"
"Assuero","SU"
"Atanásio","SU"
"Atenas","SU"
"Aulete","SU"
"Aureliana","SU"
"Aureliano","SU"
"Aurélia","SU"
"Aurélio","SU"
"Austrália","SU"
"Averróis","SU"
