"palavra","tipo"
"abafa","VB"
"abafado","VP"
"abafai","VB"
"abafais","VB"
"abafam","VB"
"abafamos","VB"
"abafando","VB"
"abafar","VB"
"abafara","VB"
"abafaram","VB"
"abafaras","VB"
"abafardes","VB"
"abafarei","VB"
"abafareis","VB"
"abafarem","VB"
"abafaremos","VB"
"abafares","VB"
"abafaria","VB"
"abafariam","VB"
"abafarias","VB"
"abafarmos","VB"
"abafará","VB"
"abafarás","VB"
"abafarão","VB"
"abafaríamos","VB"
"abafaríeis","VB"
"abafas","VB"
"abafasse","VB"
"abafassem","VB"
"abafasses","VB"
"abafaste","VB"
"abafastes","VB"
"abafava","VB"
"abafavam","VB"
"abafavas","VB"
"abafe","VB"
"abafei","VB"
"abafeis","VB"
"abafem","VB"
"abafemos","VB"
"abafes","VB"
"abafo","VB"
"abafou","VB"
"abafáramos","VB"
"abafáreis","VB"
"abafásseis","VB"
"abafássemos","VB"
"abafávamos","VB"
"abafáveis","VB"
"abaixa","VB"
"abaixado","VP"
"abaixai","VB"
"abaixais","VB"
"abaixam","VB"
"abaixamos","VB"
"abaixando","VB"
"abaixar","VB"
"abaixara","VB"
"abaixaram","VB"
"abaixaras","VB"
"abaixardes","VB"
"abaixarei","VB"
"abaixareis","VB"
"abaixarem","VB"
"abaixaremos","VB"
"abaixares","VB"
"abaixaria","VB"
"abaixariam","VB"
"abaixarias","VB"
"abaixarmos","VB"
"abaixará","VB"
"abaixarás","VB"
"abaixarão","VB"
"abaixaríamos","VB"
"abaixaríeis","VB"
"abaixas","VB"
"abaixasse","VB"
"abaixassem","VB"
"abaixasses","VB"
"abaixaste","VB"
"abaixastes","VB"
"abaixava","VB"
"abaixavam","VB"
"abaixavas","VB"
"abaixe","VB"
"abaixei","VB"
"abaixeis","VB"
"abaixem","VB"
"abaixemos","VB"
"abaixes","VB"
"abaixo","VB"
"abaixou","VB"
"abaixáramos","VB"
"abaixáreis","VB"
"abaixásseis","VB"
"abaixássemos","VB"
"abaixávamos","VB"
"abaixáveis","VB"
"abala","VB"
"abalado","VP"
"abalai","VB"
"abalais","VB"
"abalam","VB"
"abalamos","VB"
"abalance","VB"
"abalancei","VB"
"abalanceis","VB"
"abalancem","VB"
"abalancemos","VB"
"abalances","VB"
"abalando","VB"
"abalança","VB"
"abalançado","VP"
"abalançai","VB"
"abalançais","VB"
"abalançam","VB"
"abalançamos","VB"
"abalançando","VB"
"abalançar","VB"
"abalançara","VB"
"abalançaram","VB"
"abalançaras","VB"
"abalançardes","VB"
"abalançarei","VB"
"abalançareis","VB"
"abalançarem","VB"
"abalançaremos","VB"
"abalançares","VB"
"abalançaria","VB"
"abalançariam","VB"
"abalançarias","VB"
"abalançarmos","VB"
"abalançará","VB"
"abalançarás","VB"
"abalançarão","VB"
"abalançaríamo","VB"
"abalançaríeis","VB"
"abalanças","VB"
"abalançasse","VB"
"abalançassem","VB"
"abalançasses","VB"
"abalançaste","VB"
"abalançastes","VB"
"abalançava","VB"
"abalançavam","VB"
"abalançavas","VB"
"abalanço","VB"
"abalançou","VB"
"abalançáramos","VB"
"abalançáreis","VB"
"abalançásseis","VB"
"abalançássemo","VB"
"abalançávamos","VB"
"abalançáveis","VB"
"abalar","VB"
"abalara","VB"
"abalaram","VB"
"abalaras","VB"
"abalardes","VB"
"abalarei","VB"
"abalareis","VB"
"abalarem","VB"
"abalaremos","VB"
"abalares","VB"
"abalaria","VB"
"abalariam","VB"
"abalarias","VB"
"abalarmos","VB"
"abalará","VB"
"abalarás","VB"
"abalarão","VB"
"abalaríamos","VB"
"abalaríeis","VB"
"abalas","VB"
"abalasse","VB"
"abalassem","VB"
"abalasses","VB"
"abalaste","VB"
"abalastes","VB"
"abalava","VB"
"abalavam","VB"
"abalavas","VB"
"abale","VB"
"abalei","VB"
"abaleis","VB"
"abalem","VB"
"abalemos","VB"
"abales","VB"
"abaliza","VB"
"abalizado","VP"
"abalizai","VB"
"abalizais","VB"
"abalizam","VB"
"abalizamos","VB"
"abalizando","VB"
"abalizar","VB"
"abalizara","VB"
"abalizaram","VB"
"abalizaras","VB"
"abalizardes","VB"
"abalizarei","VB"
"abalizareis","VB"
"abalizarem","VB"
"abalizaremos","VB"
"abalizares","VB"
"abalizaria","VB"
